,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
88247,Pd2NbSn,c96ae7b0-909e-4243-a9a5-21d9cad2e072,"[[0.0, 3.26641049, 3.26641049], [3.26641049, 0.0, 3.26641049], [3.26641049, 3.26641049, -0.0]]","[[0.2500000000000001, 0.2500000000000001, 0.24999999999999986], [0.5000000000000001, 0.5000000000000001, 0.4999999999999998], [0.7500000000000003, 0.7500000000000003, 0.7499999999999996], [0.0, 0.0, 0.0]]",[46 46 41 50],-6.3531459725,-0.2626187987500001,
51746,Re2RhSi,79296e54-e01e-41b9-9aad-55701e3169fd,"[[2.67615476, 2.67615476, 0.0], [-2.67615476, 2.67615476, -0.0], [0.0, 0.0, 7.89587275]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[75 75 75 75 45 45 14 14],-9.33656471375,0.0321951562500011,
79528,Y2AuAs,39875d56-0764-4563-b97c-aa74bfc3966b,"[[2.93234645, 2.93234645, -0.0], [-2.93234645, 2.93234645, 0.0], [0.0, 0.0, 10.93734675]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[39 39 39 39 79 79 33 33],-6.08471897,-0.8979690062500003,
97620,Os2FeTl,c72a26da-566f-41f5-ac26-bacd6ba16f93,"[[2.81064085, 2.81064085, 0.0], [-2.81064085, 2.81064085, -0.0], [0.0, 0.0, 7.87203513]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[76 76 76 76 26 26 81 81],-7.400334325,0.8343791306249999,
103771,La2ZrSb,97cbe855-213b-4615-9976-389ec2c40217,"[[3.36723942, 3.36723942, 0.0], [-3.36723942, 3.36723942, -0.0], [-0.0, 0.0, 9.96648305]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 40 40 51 51],-5.975281625,-0.3821562512500005,
43835,Cd3Si,8b275d9e-fc95-4c91-86c1-4125d65dda24,"[[3.10563723, 3.10563723, 0.0], [-3.10563723, 3.10563723, -0.0], [-0.0, -0.0, 8.85501647]]","[[0.49999999999999983, 3.5748638440464484e-17, 0.25], [0.9999999999999999, 0.49999999999999983, 0.75], [0.49999999999999983, 3.5748638440464484e-17, 0.75], [0.9999999999999999, 0.49999999999999983, 0.25], [0.9999999999999999, 2.1449183064278692e-16, 0.5], [0.49999999999999983, 0.49999999999999983, 0.0], [0.9999999999999999, 2.1449183064278692e-16, 0.0], [0.49999999999999983, 0.49999999999999983, 0.5]]",[48 48 48 48 48 48 14 14],-1.65778862875,0.2613577899999999,
40643,Ag2YGa,20fdd775-ae6e-422c-ba5f-ee5b118a9d62,"[[3.43418375, 3.43418375, 0.0], [-3.43418375, 3.43418375, -0.0], [0.0, 0.0, 6.80325397]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[47 47 47 47 39 39 31 31],-4.02404680625,-0.3322459987500004,
44740,Hf2ScTl,f9c8796b-2e18-4a02-a99f-d14fc6cc14ea,"[[3.0393681, 3.0393681, -0.0], [-3.0393681, 3.0393681, -0.0], [0.0, -0.0, 9.70190755]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[72 72 72 72 21 21 81 81],-7.1091783325,-0.030540496875,
33848,Mo2WGe,200095bb-385b-4faf-bf49-f0de181fbacf,"[[3.14752712, 3.14752712, -0.0], [-3.14752712, 3.14752712, 0.0], [0.0, 0.0, 6.27556746]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 74 74 32 32],-9.69486040125,0.1321161287500007,
11499,Mn2FeGa,dc16bb35-f5b1-4085-ab25-cbba8ef2ecef,"[[2.65692734, 2.65692734, 0.0], [-2.65692734, 2.65692734, -0.0], [-0.0, -0.0, 6.85731992]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 26 26 31 31],-7.3257359875,-0.1036692824999994,329.8
5473,V3Bi,b51c1c4b-70a2-49f6-b94c-760eebf0d577,"[[2.78048013, 2.78048013, -0.0], [-2.78048013, 2.78048013, 0.0], [0.0, -0.0, 8.36168483]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[23 23 23 23 23 23 83 83],-7.35251698375,0.3370883075000002,
4695,TiTaAs,a6447a0c-487a-4e49-90e8-b170d0ad25d5,"[[2.6206009, 2.6206009, 0.0], [-2.6206009, 2.6206009, -0.0], [0.0, 0.0, 8.46923292]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[22 22 73 73 33 33],-7.976181985,0.1168336650000003,
891,Sc2CoPb,14aef52c-f0cb-4c83-9594-f31dc82aa339,"[[3.41510775, 3.41510775, 0.0], [-3.41510775, 3.41510775, -0.0], [-0.0, -0.0, 6.87338833]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 21 21 27 27 82 82],-5.985097155,-0.20572131625,97.1
61502,La2AgBi,9c68769a-4b15-4d5e-95a8-a9b2cd28b7f0,"[[0.0, 3.92968396, 3.92968396], [3.92968396, 0.0, 3.92968396], [3.92968396, 3.92968396, -0.0]]","[[0.25, 0.25, 0.24999999999999997], [0.75, 0.75, 0.7499999999999999], [0.5, 0.5, 0.49999999999999983], [0.0, 0.0, 0.0]]",[57 57 47 83],-4.65757835,-0.58020970875,
34601,Ru2FeSb,7ca52609-5b65-4076-96f9-7334a51207cd,"[[-0.0, 3.10702004, 3.10702004], [3.10702004, -0.0, 3.10702004], [3.10702004, 3.10702004, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[44 44 26 51],-7.6848329275,0.0340314412499997,
87514,Rh2AuP,2ce6b6d4-f6ab-4753-8338-4a2d4992c2a4,"[[2.69653865, 2.69653865, 0.0], [-2.69653865, 2.69653865, -0.0], [0.0, -0.0, 8.22491782]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 79 79 15 15],-5.535416105,0.2518561666071424,
61288,La2RuBi,fbe22ad0-7179-402b-b975-68f9c255f67d,"[[3.65633675, 3.65633675, 0.0], [-3.65633675, 3.65633675, -0.0], [-0.0, -0.0, 8.26753343]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[57 57 57 57 44 44 83 83],-5.9785666925,-0.2723309924999997,
34171,MoAuGa,29341651-255e-43d5-857e-9e54939ee058,"[[3.10638711, 3.10638711, 0.0], [-3.10638711, 3.10638711, -0.0], [-0.0, 0.0, 6.14874765]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 79 79 31 31],-5.116014773333333,0.5661409866666673,
82989,Mo2VBi,51ad668a-3812-4251-aa10-e30ae50252d3,"[[2.83614786, 2.83614786, -0.0], [-2.83614786, 2.83614786, 0.0], [-0.0, 0.0, 8.54345621]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 42 42 23 23 83 83],-8.1313855875,0.53925210375,
64324,LuPtGe,14bfbd00-0b20-4761-838b-a543a538655d,"[[2.72395515, 2.72395515, 0.0], [-2.72395515, 2.72395515, -0.0], [0.0, -0.0, 8.71145125]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[71 71 78 78 32 32],-5.73799061,-0.7121430283333327,
27598,YTaAs,9744053d-0803-4d5d-9656-b58431e23f63,"[[2.61976555, 2.61976555, 0.0], [-2.61976555, 2.61976555, -0.0], [0.0, 0.0, 10.34380803]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[39 39 73 73 33 33],-7.724712456666667,-0.0897510016666665,
82061,Nb2YGe,58779327-f182-4196-adb4-d49ef4f8d575,"[[3.39537346, 3.39537346, -0.0], [-3.39537346, 3.39537346, 0.0], [0.0, 0.0, 6.82770975]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[41 41 41 41 39 39 32 32],-7.81542193625,-0.0347206287500005,
