,composition,UUID,cell,positions,numbers
28695,Zr2CoIn,30f2da55-93b7-47db-bc45-b9b7108fee68,"[[3.39751476, 3.39751476, 0.0], [-3.39751476, 3.39751476, 0.0], [-0.0, -0.0, 6.80798721]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 40 40 27 27 49 49]
85873,Ru2PtP,d9ce1487-30f4-4e1f-a542-ac27d63fda95,"[[2.72141174, 2.72141174, -0.0], [-2.72141174, 2.72141174, 0.0], [0.0, -0.0, 7.50735634]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 78 78 15 15]
88870,AgScSi,bf65c92a-28a2-43a5-9cab-f423bf0ecf95,"[[3.09398733, 3.09398733, 0.0], [-3.09398733, 3.09398733, -0.0], [0.0, 0.0, 6.20911662]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[47 47 21 21 14 14]
95053,W2CoGa,e75e994b-9bf8-442e-9c50-349b036abd71,"[[2.68299276, 2.68299276, -0.0], [-2.68299276, 2.68299276, 0.0], [-0.0, -0.0, 7.97949121]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[74 74 74 74 27 27 31 31]
52534,OsTiBi,4cbf9c77-aa70-4982-9e2f-4fa58f5e03ef,"[[3.16742253, 3.16742253, -0.0], [-3.16742253, 3.16742253, 0.0], [0.0, 0.0, 6.3213627]]","[[0.49999999999999983, 2.7755575615628904e-17, 0.25], [0.9999999999999998, 0.49999999999999983, 0.7499999999999999], [0.0, 0.0, 0.5], [0.4999999999999998, 0.49999999999999983, 0.0], [0.0, 0.0, 0.0], [0.4999999999999998, 0.49999999999999983, 0.5]]",[76 76 22 22 83 83]
6611,V2YTl,45203084-3c5f-4d1f-9932-3176585c589f,"[[2.97174987, 2.97174987, 0.0], [-2.97174987, 2.97174987, 0.0], [-0.0, -0.0, 9.03043602]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[23 23 23 23 39 39 81 81]
38361,Pd2CoBi,feb14408-0d45-40cb-a45f-6eb2d38b5d48,"[[2.85414806, 2.85414806, -0.0], [-2.85414806, 2.85414806, 0.0], [-0.0, -0.0, 8.30252267]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.9999999999999998], [0.5, 0.5, 0.4999999999999999]]",[46 46 46 46 27 27 83 83]
98321,Os2HfSi,32931187-f690-4ad2-b3b4-6a668499e038,"[[2.66584672, 2.66584672, 0.0], [-2.66584672, 2.66584672, -0.0], [-0.0, 0.0, 8.63586976]]","[[0.5, 4.164616878742214e-17, 0.25], [0.0, 0.5, 0.7500000000000001], [0.0, 0.0, 0.5], [0.5000000000000002, 0.5000000000000003, 0.0], [0.5, 4.164616878742214e-17, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5000000000000002, 0.5000000000000003, 0.5]]",[76 76 76 76 72 72 14 14]
97399,Os2VP,ea9ca1f3-2629-4f58-805b-2c005b59b1d3,"[[0.0, 3.00514244, 3.00514244], [3.00514244, 0.0, 3.00514244], [3.00514244, 3.00514244, 0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[76 76 23 15]
30481,Nb2CrIn,fc8159b9-f5c6-4c50-a782-30d6226bd4fc,"[[2.99944394, 2.99944394, -0.0], [-2.99944394, 2.99944394, -0.0], [-0.0, -0.0, 7.75441695]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[41 41 41 41 24 24 49 49]
59044,Au2PdIn,e3cb052d-b7b6-49ab-b691-63681ba17b3d,"[[2.85783864, 2.85783864, 0.0], [-2.85783864, 2.85783864, -0.0], [0.0, 0.0, 8.82263084]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[79 79 79 79 46 46 49 49]
20255,Ni2RuTl,bf51a7cc-366c-457a-8741-59922278cc84,"[[2.79138204, 2.79138204, -0.0], [-2.79138204, 2.79138204, 0.0], [0.0, -0.0, 7.3777615]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 44 44 81 81]
45803,HfMoGe,f511919a-c8f2-4316-8ea2-5d5318ec49a4,"[[2.56589763, 2.56589763, -0.0], [-2.56589763, 2.56589763, -0.0], [0.0, 0.0, 9.00415741]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[72 72 42 42 32 32]
67878,V2AgP,c45c6239-ffae-46e6-8ad2-ebf8b6277116,"[[2.64051439, 2.64051439, -0.0], [-2.64051439, 2.64051439, 0.0], [0.0, 0.0, 8.08601875]]","[[0.4999999999999999, 4.2045710064286244e-17, 0.25], [0.9999999999999998, 0.4999999999999998, 0.75], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.4999999999999999, 4.2045710064286244e-17, 0.75], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[23 23 23 23 47 47 15 15]
52837,Os2CoSn,aa1653cc-0991-4391-817e-509198fef3c0,"[[2.77268413, 2.77268413, -0.0], [-2.77268413, 2.77268413, 0.0], [0.0, 0.0, 7.71884526]]","[[0.4999999999999999, 4.0041453428204115e-17, 0.25], [0.9999999999999998, 0.4999999999999999, 0.7499999999999999], [0.4999999999999999, 4.0041453428204115e-17, 0.7499999999999999], [0.9999999999999998, 0.4999999999999998, 0.25], [0.0, 0.0, 0.5], [0.4999999999999999, 0.4999999999999999, 0.0], [0.0, 0.0, 0.0], [0.4999999999999999, 0.4999999999999999, 0.5]]",[76 76 76 76 27 27 50 50]
80273,ZrCuSn,e811019d-a2ea-48a9-a53e-3af0642d1eaa,"[[2.88572452, 2.88572452, 0.0], [-2.88572452, 2.88572452, -0.0], [0.0, 0.0, 8.20517259]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 29 29 50 50]
71922,Fe2YP,ef98762f-313f-40b2-9676-cd45ccc8d72f,"[[-0.0, 2.9976244, 2.9976244], [2.9976244, 0.0, 2.9976244], [2.9976244, 2.9976244, -0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[26 26 39 15]
102200,Au2YSi,f326f922-75c2-4f3b-b559-4c81c8afb6d0,"[[3.42298782, 3.42298782, 0.0], [-3.42298782, 3.42298782, -0.0], [-0.0, -0.0, 6.68059968]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.49999999999999983], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7499999999999998], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.0], [0.5, 0.5, 0.49999999999999983]]",[79 79 79 79 39 39 14 14]
52671,Os2MnSi,e3f5600b-0836-4bc1-8c91-beef1027e0cf,"[[2.97489282, 2.97489282, -0.0], [-2.97489282, 2.97489282, -0.0], [-0.0, -0.0, 5.94378437]]","[[0.5, 0.0, 0.24999999999999997], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.24999999999999997], [0.0, 0.0, 0.4999999999999999], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.4999999999999999]]",[76 76 76 76 25 25 14 14]
73521,Co2MoBi,d9640369-12de-441f-aaba-1f33d5fea9d9,"[[2.72097965, 2.72097965, 0.0], [-2.72097965, 2.72097965, 0.0], [0.0, 0.0, 8.12087355]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 42 42 83 83]
