,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),hull distance (eV/atom),total magnetization (muB/f.u.),band gap (eV)
35169,Ru3In,d448df30-fb6e-413b-8ebb-01a42abb4ab3,"[[2.73811377, 2.73811377, -0.0], [-2.73811377, 2.73811377, 0.0], [-0.0, -0.0, 8.16570067]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[44 44 44 44 44 44 49 49],-7.28208328875,0.2819012875000002,0.3354153412500002,0.15943645,
8878,CrCoPb,72eb66c3-cebb-4886-9a91-8e39cba468ce,"[[3.03575672, 3.03575672, 0.0], [-3.03575672, 3.03575672, -0.0], [0.0, -0.0, 6.17321032]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[24 24 27 27 82 82],-5.873916008333333,0.8388079600000005,0.8450606866666668,3.97371715,
13421,MnIrSb,17104e16-476c-4d8a-a006-adf4ab836fbb,"[[2.99701118, 2.99701118, -0.0], [-2.99701118, 2.99701118, 0.0], [-0.0, -0.0, 6.00974446]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 77 77 51 51],-7.182769919999999,0.1012421883333338,0.3714741375143668,3.1202441,0.0
19286,Ni2CrGe,79214551-309c-4570-9978-a774474cacd2,"[[2.63158695, 2.63158695, -0.0], [-2.63158695, 2.63158695, -0.0], [-0.0, -0.0, 6.95896651]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 24 24 32 32],-6.35689667375,-0.1077897962499987,0.1369863520833344,2.56226325,
70425,Mn2ZrTl,5524120b-bac1-4c72-99fc-4989c51b898a,"[[2.8761052, 2.8761052, 0.0], [-2.8761052, 2.8761052, -0.0], [-0.0, 0.0, 8.79996333]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 40 40 81 81],-6.9694927575,0.1417844856250001,0.2768146562715505,5.5574333,
28263,Zr2TiBi,e1d387e0-2883-4b46-b830-4bc219682690,"[[3.0860947, 3.0860947, 0.0], [-3.0860947, 3.0860947, -0.0], [0.0, 0.0, 9.2781276]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[40 40 40 40 22 22 83 83],-7.30685205875,-0.1276516487499996,0.1247353480298996,1.15189015,
65301,Sc2CdP,06363345-0ea5-413e-825a-1c76c2ae71bf,"[[3.10622499, 3.10622499, 0.0], [-3.10622499, 3.10622499, 0.0], [-0.0, -0.0, 8.11670562]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000001], [0.5, 0.0, 0.7500000000000001], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[21 21 21 21 48 48 15 15],-5.13761656375,-0.4720233908928568,0.4887380013471282,1.0149396,
31631,NbCdBi,c34d058b-3075-4b00-8230-c8316254372a,"[[3.43418968, 3.43418968, 0.0], [-3.43418968, 3.43418968, 0.0], [-0.0, -0.0, 6.93586374]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[41 41 48 48 83 83],-4.340343518333333,0.5660644983333339,0.5660644983333339,2.09129595,
83304,MoCuP,7f4bbb6f-5e53-4dd9-8d88-6a85c7fd2ab3,"[[2.35504785, 2.35504785, -0.0], [-2.35504785, 2.35504785, 0.0], [0.0, 0.0, 7.94972741]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999998], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[42 42 29 29 15 15],-6.435022403333334,0.259765905476191,0.7805869851295042,0.19415715,
24929,ZnMoSb,5a44d347-73f9-454c-a3c5-4e49928f1361,"[[2.75508855, 2.75508855, -0.0], [-2.75508855, 2.75508855, -0.0], [0.0, -0.0, 8.52966418]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[30 30 42 42 51 51],-4.6340255783333335,0.7552233783333335,0.785046064027778,1.8660432,
36999,RhRuGe,81cc8d3c-1e3d-4010-a6ef-9a2079c247bb,"[[-0.0, 2.93725455, 2.93725455], [2.93725455, 0.0, 2.93725455], [2.93725455, 2.93725455, -0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[45 44 32],-6.834032753333333,0.1685193316666667,0.5390243183333339,1.4919154,0.0
16788,Co2CrIn,2a55d43b-16df-43aa-869b-5d4a45ddd085,"[[0.0, 2.98661643, 2.98661643], [2.98661643, 0.0, 2.98661643], [2.98661643, 2.98661643, 0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[27 27 24 49],-6.339859975,0.1980935375000001,0.219091658958333,3.1476514,0.0
