,composition,UUID,cell,positions,numbers,energy (eV/atom),formation energy (eV/atom),Tc (K)(KKR-FULL)
19384,Ni2MnSi,fc7706f6-d8f4-41c8-8cc8-e4cb56737c05,"[[2.72517718, 2.72517718, -0.0], [-2.72517718, 2.72517718, 0.0], [0.0, 0.0, 6.17943916]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 25 25 14 14],-6.71424600375,-0.4038718012499993,374.6
17015,Co2FeAl,5e47a88c-b839-4a7b-9db7-7b9d9af869c2,"[[2.85050281, 2.85050281, -0.0], [-2.85050281, 2.85050281, 0.0], [-0.0, -0.0, 5.68901677]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7499999999999999], [0.5, 0.0, 0.7499999999999999], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 26 26 13 13],-6.88568484,-0.3652724499999999,1430.0
1930,Sc2AgGe,e8677bc2-9ad8-430d-84c3-5623f9a426b8,"[[0.0, 3.38884686, 3.38884686], [3.38884686, 0.0, 3.38884686], [3.38884686, 3.38884686, 0.0]]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[21 21 47 32],-5.4497410725,-0.5167326400000007,78.2
11774,Mn2NiGa,c2875406-7da8-42b2-ac35-b25fcd79e315,"[[2.68296011, 2.68296011, 0.0], [-2.68296011, 2.68296011, 0.0], [-0.0, -0.0, 7.12717353]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[25 25 25 25 28 28 31 31],-6.68971026375,-0.1650355787500004,2231.0
13890,FeVGe,e2c7afc2-cc59-401a-b645-cf9af2dad9c5,"[[-0.0, 2.78577171, 2.78577171], [2.78577171, 0.0, 2.78577171], [2.78577171, 2.78577171, 0.0]]","[[0.25, 0.25, 0.25], [0.5, 0.5, 0.5], [0.0, 0.0, 0.0]]",[26 23 32],-7.406051966666666,-0.157295253333333,360.6
18393,Co2TaSn,a9d4f218-0572-4f6e-b4ff-7bf4b3a85972,"[[2.96501729, 2.96501729, 0.0], [-2.96501729, 2.96501729, 0.0], [-0.0, -0.0, 6.63528662]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 73 73 50 50],-7.5690135625,-0.1384632362499998,291.6
36326,Rh2MnPb,d6279b3d-0b8f-485a-8974-af89417f55ea,"[[3.08322083, 3.08322083, -0.0], [-3.08322083, 3.08322083, -0.0], [-0.0, 0.0, 6.8705133]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[45 45 45 45 25 25 82 82],-6.8558461475,-0.1168984750000001,221.9
13635,Fe2ScAl,2ce26477-d74e-45fe-abe1-b93b02c60a47,"[[2.60899845, 2.60899845, -0.0], [-2.60899845, 2.60899845, -0.0], [-0.0, -0.0, 8.46505626]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[26 26 26 26 21 21 13 13],-6.7595837775,-0.1277198925,770.1
19519,Ni2FeAs,f3303db4-c9bb-4970-8b35-0e410932dd83,"[[2.54419543, 2.54419543, 0.0], [-2.54419543, 2.54419543, -0.0], [0.0, 0.0, 7.40679431]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.75], [0.5, 0.0, 0.75], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[28 28 28 28 26 26 33 33],-6.02895863,-0.0530131012500003,540.6
18387,Co2TaIn,5dc78741-dcbe-48ab-acb7-485934dc484b,"[[3.07951847, 3.07951847, -0.0], [-3.07951847, 3.07951847, 0.0], [0.0, 0.0, 6.16749432]]","[[0.5, 0.0, 0.25], [0.0, 0.5, 0.7500000000000002], [0.5, 0.0, 0.7500000000000002], [0.0, 0.5, 0.25], [0.0, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",[27 27 27 27 73 73 49 49],-7.22852700375,-0.1194100437499994,506.3
